Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,229.050003,230.050003,226.100006,226.800003,226.800003,22511518
2018-09-25,226.449997,227.600006,224.399994,225.500000,225.500000,19271786
2018-09-26,225.250000,226.399994,224.100006,225.300003,225.300003,21606336
2018-09-27,224.350006,231.600006,224.050003,230.250000,230.250000,33726061
2018-09-28,229.449997,230.949997,224.850006,225.300003,225.300003,24789169
2018-10-01,225.399994,228.800003,223.750000,226.000000,226.000000,30507120
2018-10-02,225.800003,225.800003,222.199997,224.199997,224.199997,16786019
2018-10-03,224.649994,231.050003,224.649994,228.850006,228.850006,29293064
2018-10-04,228.500000,229.399994,225.199997,227.699997,227.699997,17978437
2018-10-05,227.649994,231.000000,225.899994,230.100006,230.100006,24798216
2018-10-08,229.899994,236.250000,228.600006,231.350006,231.350006,32719115
2018-10-09,231.449997,231.699997,227.399994,228.699997,228.699997,25521322
2018-10-10,228.550003,239.600006,228.000000,237.000000,237.000000,55964737
2018-10-11,235.000000,240.800003,233.750000,237.000000,237.000000,53618780
2018-10-12,237.550003,239.050003,231.500000,235.899994,235.899994,33170663
2018-10-15,236.600006,242.399994,235.750000,242.399994,242.399994,40806243
2018-10-16,242.350006,244.949997,240.250000,242.250000,242.250000,30658748
2018-10-17,244.500000,244.850006,240.800003,241.600006,241.600006,28150213
2018-10-18,243.300003,247.750000,241.550003,244.850006,244.850006,35318271
2018-10-19,245.350006,248.399994,244.050003,246.500000,246.500000,24887819
2018-10-22,247.250000,248.399994,243.250000,243.449997,243.449997,18708798
